L0,111
G001   41.265326 111.011686 4590341.8410  501783.9820 206.2798
G009   41.140926 111.064912 4566778.2550  509527.3870 8.2956
G010   41.124386 110.571028 4564138.4610  496046.1670 130.5577
G005   41.222431 111.095535 4582057.5510  513835.0920 108.416
G008   41.164562 111.043256 4571598.5090  506343.0070 84.7839
G006   41.200508 111.052838 4577753.0540  507635.6100 113.4507
G007   41.200237 110.584485 4577665.6050  498252.5940 166.0677
G004   41.175569 111.104272 4573772.7290  514952.9110 23.8765

G009
G005,L,0.00000
G005,S,15875.02116
G004,S,8852.06029
G004,L,22.03222
G010,L,243.10366
G008,L,310.48213
G008,S,5777.08530
G006,S,11136.65256
G006,L,334.28324
G010
G007,L,0.00000
G007,S,13706.21820
G008,S,12715.45272
G008,L,44.48467
G009,L,69.39245
G005
G004,L,0.00000
G004,S,8359.95553
G009,L,23.25466
G009,S,15875.02116
G006,L,62.54391
G006,S,7547.47644
G007,S,16189.75850
G007,L,81.56391
G001,L,132.11285
G001,S,14624.28101
G008
G006,L,0.00000
G006,S,6288.89308
G004,L,63.58004
G004,S,8880.23799
G009,L,134.41226
G009,S,5777.08530
G010,S,12715.45272
G010,L,222.13004
G007,L,295.00251
G007,S,10112.69164
G006
G005,L,0.00000
G005,S,7547.47644
G004,L,63.19074
G004,S,8329.83830
G009,L,114.59401
G009,S,11136.65256
G008,S,6288.89308
G008,L,136.38089
G007,L,214.14283
G007,S,9383.46667
G001,L,279.50412
G001,S,13882.83442
G007
G001,L,0.00000
G001,S,13159.38576
G005,S,16189.75850
G005,L,58.41375
G006,L,73.54034
G006,S,9383.46667
G008,S,10112.69164
G008,L,111.18069
G010,S,13706.21820
G010,L,173.41582
G001
G005,L,0.00000
G005,S,14624.28101
G006,S,13882.83442
G006,L,30.33520
G007,L,71.03384
G007,S,13159.38576
G004
G009,L,0.00000
G009,S,8852.06029
G008,S,8880.23799
G008,L,38.01394
G006,L,80.44401
G006,S,8329.83830
G005,S,8359.95553
G005,L,134.30585
